iter	RMSE
0	1.527934632
1	1.410007126
2	1.301842968
3	1.203382087
4	1.122244515
5	1.045889433
6	0.9818545249
7	0.9163178778
8	0.8664125897
9	0.8177943732
10	0.7746749101
11	0.7370487039
12	0.7019095384
13	0.6722817178
14	0.6429493836
15	0.6186872571
16	0.597860779
17	0.5785855823
18	0.5625180627
19	0.5472042491
20	0.5324557596
21	0.5195616924
22	0.5082727716
23	0.498593948
24	0.4898054933
25	0.4811780342
26	0.4732820803
27	0.4667402251
28	0.4595558691
29	0.454119116
30	0.4489302787
31	0.4439660573
32	0.4393629197
33	0.4353398996
34	0.4321882996
35	0.4290769608
36	0.4262586778
37	0.4235899069
38	0.4215381741
39	0.4187286572
40	0.4149036812
41	0.412942707
42	0.4106272377
43	0.4086784927
44	0.4067411168
45	0.4046416272
46	0.403284042
47	0.4011172958
48	0.399830185
49	0.3987717138
50	0.3973041496
51	0.395790581
52	0.3944043507
53	0.3935510124
54	0.3923096736
55	0.3914159188
56	0.390421328
57	0.3888682922
58	0.3879343084
59	0.3870901299
60	0.3866423414
61	0.3857422671
62	0.3851196618
63	0.3843583068
64	0.3837163653
65	0.383183444
66	0.3807615911
67	0.3785963335
68	0.3778204482
69	0.3768073537
70	0.3761228646
71	0.3750015203
72	0.373087819
73	0.3708390584
74	0.3702651271
75	0.3694052383
76	0.368047684
77	0.3673193188
78	0.3667884828
79	0.3661134714
80	0.3646362118
81	0.3635680688
82	0.3625722621
83	0.3607012837
84	0.3594501909
85	0.3589139832
86	0.3581870616
87	0.3570574125
88	0.3540229721
89	0.3534897443
90	0.3522375186
91	0.3507390862
92	0.3492896097
93	0.3472842773
94	0.3467920953
95	0.3444443943
96	0.3433460784
97	0.3417604518
98	0.3397033562
99	0.3391191849
100	0.3383227003
101	0.3362156643
102	0.3354386295
103	0.3349302479
104	0.3336849136
105	0.3329244152
106	0.331711596
107	0.330914949
108	0.328561093
109	0.3277346924
110	0.3271876538
111	0.3262101752
112	0.3250105385
113	0.3243866629
114	0.3235348525
115	0.3228163599
116	0.3219710893
117	0.3205754122
118	0.3197409126
119	0.318729698
120	0.3182496337
121	0.3177990962
122	0.3173426441
123	0.3161833716
124	0.3157092628
125	0.3147271438
126	0.3142200432
127	0.3126083803
128	0.3116381584
